"ref_area.label","indicator.label","source.label","time","obs_value","obs_status.label"
"Sub-Saharan Africa: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.9,
"Central Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.9,
"Eastern Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.6,
"Southern Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.5,
"Western Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",59.9,
"Americas","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.5,
"Americas: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.6,
"Americas: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.5,
"Americas: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.5,
"Latin America and the Caribbean","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.8,
"Latin America and the Caribbean: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.6,
"Latin America and the Caribbean: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.5,
"Latin America and the Caribbean: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.5,
"Caribbean","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.6,
"Central America","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.7,
"South America","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.5,
"Northern America","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.9,
"Northern America: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.9,
"Arab States","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",34,
"Arab States: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",43.8,
"Arab States: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",40.7,
"Arab States: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",32.5,
"Asia and the Pacific","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.1,
"Asia and the Pacific: Low income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",39.2,
"Asia and the Pacific: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.8,
"Asia and the Pacific: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.8,
"Asia and the Pacific: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",55.2,
"Eastern Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.7,
"Eastern Asia: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",56.3,
"South-Eastern Asia and the Pacific","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.1,
"South-Eastern Asia and the Pacific: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42,
"South-Eastern Asia and the Pacific: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.4,
"South-Eastern Asia and the Pacific: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.5,
"South-Eastern Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.6,
"Pacific Islands","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.6,
"Southern Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.3,
"Southern Asia: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.4,
"Europe and Central Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.8,
"Europe and Central Asia: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",45.9,
"Europe and Central Asia: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.3,
"Europe and Central Asia: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.4,
"Northern, Southern and Western Europe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.7,
"Northern, Southern and Western Europe: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.4,
"Northern, Southern and Western Europe: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.8,
"Northern Europe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.4,
"Southern Europe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.9,
"Western Europe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",61.4,
"Eastern Europe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.8,
"Eastern Europe: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",51.2,
"Eastern Europe: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.8,
"Central Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",42.2,
"Central and Western Asia: Lower-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",41.8,
"Central and Western Asia: Upper-middle income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.1,
"Central and Western Asia: High income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",50.1,
"Central and Western Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.1,
"Western Asia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.7,
"European Union 28","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57.3,
"G20","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",54.4,
"ASEAN","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.6,
"BRICS","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.2,
"World excluding BRICS","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.4,
"G7","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.9,
"MENA","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",37.1,
"Arab League","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",36.8,
"CARICOM","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",49.9,
"European Union 27","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",57,
"Arab States: Low income","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35,
"APEC","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",53.6,
"World excluding India and China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.6,
"World: Lower-middle income excluding India","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",44.8,
"World: Upper-middle income excluding China","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",47.9,
"Yemen","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",35.047,"Imputation"
"South Africa","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",58.639,"Imputation"
"Zambia","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",33.787,
"Zimbabwe","Labour income share as a percent of GDP -- ILO modelled estimates, Nov. 2023 (%)","ILO - Modelled Estimates","2021",52.637,"Model-based extrapolation"
