any,wb_name
syrian arab republic,Syrian Arab Republic
syrianarabrepublic,Syrian Arab Republic
"Taiwan,RepublicofChina",Taiwan
"taiwan, republic of china",Taiwan
"taiwan,republicofchina",Taiwan
taiwan,Taiwan
tajikistan,Tajikistan
"Tanzania,UnitedRepublicof",Tanzania
"tanzania, united republic of",Tanzania
"tanzania,unitedrepublicof",Tanzania
UnitedRepublicofTanzania,Tanzania
united republic of tanzania,Tanzania
unitedrepublicoftanzania,Tanzania
"Tanzania,UnitedRepof",Tanzania
"tanzania, united rep of",Tanzania
"tanzania,unitedrepof",Tanzania
"Tanzania,UnitedRep.",Tanzania
"tanzania, united rep.",Tanzania
"tanzania,unitedrep.",Tanzania
tanzania,Tanzania
thailand,Thailand
timor-leste,Timor-Leste
EastTimor,Timor-Leste
east timor,Timor-Leste
easttimor,Timor-Leste
togo,Togo
tonga,Tonga
TrinidadandTobago,Trinidad and Tobago
trinidad and tobago,Trinidad and Tobago
trinidadandtobago,Trinidad and Tobago
tunisia,Tunisia
turkey,Turkey
turkmenistan,Turkmenistan
TurksandCaicosIslands,Turks and Caicos Islands
turks and caicos islands,Turks and Caicos Islands
turksandcaicosislands,Turks and Caicos Islands
tuvalu,Tuvalu
uganda,Uganda
ukraine,Ukraine
UnitedArabEmirates,United Arab Emirates
united arab emirates,United Arab Emirates
unitedarabemirates,United Arab Emirates
UnitedKingdom,United Kingdom
united kingdom,United Kingdom
unitedkingdom,United Kingdom
UnitedKingdomofGreatBritainandNorthernIreland,United Kingdom
united kingdom of great britain and northern ireland,United Kingdom
unitedkingdomofgreatbritainandnorthernireland,United Kingdom
UnitedStatesofAmerica,United States
united states of america,United States
unitedstatesofamerica,United States
UnitedStates,United States
united states,United States
unitedstates,United States
usa,United States
uruguay,Uruguay
uzbekistan,Uzbekistan
vanuatu,Vanuatu
Venezuela(BolivarianRepublicof),"Venezuela, RB"
venezuela (bolivarian republic of),"Venezuela, RB"
venezuela(bolivarianrepublicof),"Venezuela, RB"
"Venezuela,BolivarianRepublicof","Venezuela, RB"
"venezuela, bolivarian republic of","Venezuela, RB"
"venezuela,bolivarianrepublicof","Venezuela, RB"
"Venezuela,RB","Venezuela, RB"
"venezuela, rb","Venezuela, RB"
"venezuela,rb","Venezuela, RB"
venezuela,"Venezuela, RB"
VietNam,Vietnam
viet nam,Vietnam
vietnam,Vietnam
"VirginIslands,US",Virgin Islands (U.S.)
"virgin islands, us",Virgin Islands (U.S.)
"virginislands,us",Virgin Islands (U.S.)
UnitedStatesVirginIslands,Virgin Islands (U.S.)
united states virgin islands,Virgin Islands (U.S.)
unitedstatesvirginislands,Virgin Islands (U.S.)
"VirginIslands,U.S.",Virgin Islands (U.S.)
"virgin islands, u.s.",Virgin Islands (U.S.)
"virginislands,u.s.",Virgin Islands (U.S.)
yemen,"Yemen, Rep."
"Yemen,Rep.","Yemen, Rep."
"yemen, rep.","Yemen, Rep."
"yemen,rep.","Yemen, Rep."
zambia,Zambia
zimbabwe,Zimbabwe
Côted'Ivoire,Cote d'Ivoire
côte d'ivoire,Cote d'Ivoire
côted'ivoire,Cote d'Ivoire
Côted’Ivoire,Cote d'Ivoire
côte d’ivoire,Cote d'Ivoire
côted’ivoire,Cote d'Ivoire
D.R.oftheCongo,"Congo, Dem. Rep."
d.r. of the congo,"Congo, Dem. Rep."
d.r.ofthecongo,"Congo, Dem. Rep."
"China,HongKongSAR","Hong Kong SAR, China"
"china, hong kong sar","Hong Kong SAR, China"
"china,hongkongsar","Hong Kong SAR, China"
LaoPeople'sDR,Lao PDR
lao people's dr,Lao PDR
laopeople'sdr,Lao PDR
"China,MacaoSAR","Macao SAR, China"
"china, macao sar","Macao SAR, China"
"china,macaosar","Macao SAR, China"
NorthMacedonia,"Macedonia, FYR"
north macedonia,"Macedonia, FYR"
northmacedonia,"Macedonia, FYR"
eswatini,Swaziland
U.R.ofTanzania:Mainland,Tanzania
u.r. of tanzania: mainland,Tanzania
u.r.oftanzania:mainland,Tanzania
"Taiwan,China",Taiwan
"taiwan, china",Taiwan
"taiwan,china",Taiwan
czechia,Czech Republic
turkiye,Turkey
